care_scf_gate_output,case_id,component_id,decision_reason,decision_status,diagnostic_oracle_action,dice_delta_mosaic_minus_nnunet,fold,gt_positive,modality_availability,mosaic_prediction,nnunet_prediction,pathology,pathology_component,remote_fp_delta_mosaic_minus_nnunet,t2_present
retain,Case1070,Case1070:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.15384689200461382,0,1,LGE-only,0.3466031529998866,0.5004500450045004,scar,scar,0.0,0
retain,Case1073,Case1073:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,59724.890424870086,0
retain,Case1073,Case1073:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.29718676748727274,0,1,LGE-only,0.13108980630013695,0.4282765737874097,scar,scar,11540.662362741903,0
retain,Case1080,Case1080:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,119201.88434198798,0
retain,Case1080,Case1080:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.5336586440737505,0,1,LGE-only,0.10328403108548509,0.6369426751592356,scar,scar,27631.18099834614,0
retain,Case2002,Case2002:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.1023807952007294,0,1,C0+LGE+T2,0.43521976443550703,0.5376005596362364,pure_edema,pure_edema,4692.0166015625,1
retain,Case2002,Case2002:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.116914456376216,0,1,C0+LGE+T2,0.6771844660194175,0.5602700096432015,scar,scar,-17.63916015625,1
retain,Case2007,Case2007:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.10350525284616119,0,1,C0+LGE+T2,0.4666304937601736,0.5701357466063348,pure_edema,pure_edema,0.0,1
retain,Case2007,Case2007:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.032471500865283276,0,1,C0+LGE+T2,0.5223443223443224,0.4898728214790391,scar,scar,0.0,1
retain,Case2008,Case2008:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.07580756225467045,0,1,C0+LGE+T2,0.27274710888064585,0.3485546711353163,pure_edema,pure_edema,0.0,1
retain,Case2008,Case2008:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.002199458721736103,0,1,C0+LGE+T2,0.7553578649413668,0.7531584062196307,scar,scar,0.0,1
retain,Case2017,Case2017:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.3553520768242264,0,1,C0+LGE+T2,0.32427258805513015,0.6796246648793566,pure_edema,pure_edema,376.3021002213162,1
retain,Case2017,Case2017:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.03150338051707979,0,1,C0+LGE+T2,0.5785622040464916,0.5470588235294118,scar,scar,0.0,1
retain,Case2020,Case2020:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.5630676084762866,0,1,C0+LGE+T2,0.0,0.5630676084762866,pure_edema,pure_edema,24396.919497682,1
retain,Case2020,Case2020:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.4196185286103542,0,1,C0+LGE+T2,0.0,0.4196185286103542,scar,scar,8184.570679813628,1
retain,Case2031,Case2031:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.051700533772246926,0,1,C0+LGE+T2,0.2471042471042471,0.29880478087649404,pure_edema,pure_edema,0.0,1
retain,Case2031,Case2031:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.2872549107422767,0,1,C0+LGE+T2,0.5141388174807198,0.8013937282229965,scar,scar,31.35850835177635,1
retain,Case2033,Case2033:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.16291426209037835,0,1,C0+LGE+T2,0.3601190476190476,0.523033309709426,pure_edema,pure_edema,0.0,1
retain,Case2033,Case2033:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.04224261580049027,0,1,C0+LGE+T2,0.6786562606040041,0.7208988764044943,scar,scar,0.0,1
retain,Case3004,Case3004:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.14587167345837465,0,1,C0+LGE+T2,0.30717351318209685,0.4530451866404715,pure_edema,pure_edema,191.35378573362252,1
retain,Case3004,Case3004:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.2353375094194074,0,1,C0+LGE+T2,0.3893665158371041,0.6247040252565115,scar,scar,102.05535239126534,1
retain,Case3011,Case3011:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.16013745704467353,0,1,C0+LGE+T2,0.10652920962199312,0.26666666666666666,pure_edema,pure_edema,0.0,1
retain,Case3011,Case3011:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.046470028499799976,0,1,C0+LGE+T2,0.6854236210459387,0.6389535925461387,scar,scar,0.0,1
retain,Case3012,Case3012:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.4095137705843296,0,1,C0+LGE+T2,0.041167066346922465,0.45068083693125205,pure_edema,pure_edema,0.0,1
retain,Case3012,Case3012:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.8267066766691673,0,1,C0+LGE+T2,0.0,0.8267066766691673,scar,scar,0.0,1
retain,Case3023,Case3023:pure_edema,diagnostic only; edema gate is not active without full T2-present OOF,NOT_ACTIVATED,replace,0.16743306480460718,0,1,C0+LGE+T2,0.33035099793530626,0.16291793313069908,pure_edema,pure_edema,0.0,1
retain,Case3023,Case3023:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.10930328254248156,0,1,C0+LGE+T2,0.5519658640658336,0.6612691466083152,scar,scar,0.0,1
retain,Case3026,Case3026:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.06995528035775714,0,1,C0+LGE+T2,0.14923976608187134,0.21919504643962848,pure_edema,pure_edema,4003.5466099956225,1
retain,Case3026,Case3026:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.10421740989148487,0,1,C0+LGE+T2,0.703956617794738,0.8081740276862228,scar,scar,1867.8256489013036,1
retain,Case3034,Case3034:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.152229558177012,0,1,C0+LGE+T2,0.5023739543296405,0.6546035125066525,pure_edema,pure_edema,0.0,1
retain,Case3034,Case3034:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.15899870952093154,0,1,C0+LGE+T2,0.6703844328429046,0.8293831423638361,scar,scar,0.0,1
retain,Case3038,Case3038:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.1412249202332134,0,1,C0+LGE+T2,0.026562690386255635,0.16778761061946904,pure_edema,pure_edema,0.0,1
retain,Case3038,Case3038:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.31233908846771863,0,1,C0+LGE+T2,0.44596235579842136,0.75830144426614,scar,scar,0.0,1
retain,Case3040,Case3040:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.030888073449225478,0,1,C0+LGE+T2,0.21824286513710128,0.24913093858632676,pure_edema,pure_edema,0.0,1
retain,Case3040,Case3040:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.0379156655103029,0,1,C0+LGE+T2,0.9070524412296564,0.8691367757193535,scar,scar,0.0,1
retain,Case3044,Case3044:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,-0.05519281413895749,0,1,C0+LGE+T2,0.11093247588424437,0.16612529002320187,pure_edema,pure_edema,0.0,1
retain,Case3044,Case3044:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.0121765109286609,0,1,C0+LGE+T2,0.7722772277227723,0.7844537386514332,scar,scar,0.0,1
retain,Case5005,Case5005:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,C0+LGE,0.0,,pure_edema,pure_edema,62749.09973144531,0
retain,Case5005,Case5005:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.5205453759781886,0,1,C0+LGE,0.05202938696856558,0.5725747629467542,scar,scar,33982.086181640625,0
retain,Case6001,Case6001:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,C0+LGE,0.0,,pure_edema,pure_edema,0.0,0
retain,Case6001,Case6001:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.11924307639324222,0,1,C0+LGE,0.32674030310814284,0.44598337950138506,scar,scar,0.0,0
retain,Case6010,Case6010:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,C0+LGE,0.0,,pure_edema,pure_edema,750.0,0
retain,Case6010,Case6010:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.459533258091528,0,1,C0+LGE,0.03305785123966942,0.49259110933119743,scar,scar,0.0,0
retain,Case7005,Case7005:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,C0+LGE,0.0,,pure_edema,pure_edema,0.0,0
retain,Case7005,Case7005:scar,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,0.0,0,0,C0+LGE,0.0,0.0,scar,scar,0.0,0
retain,Case8003,Case8003:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,204565.5163936317,0
retain,Case8003,Case8003:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.03154115282808878,0,1,LGE-only,0.6857565121004988,0.7172976649285876,scar,scar,4458.047849038849,0
retain,Case8011,Case8011:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,104951.97169393068,0
retain,Case8011,Case8011:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.04151626578506448,0,1,LGE-only,0.26558265582655827,0.22406639004149378,scar,scar,12418.73826609808,0
retain,Case8015,Case8015:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,119423.29406738281,0
retain,Case8015,Case8015:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.22382926300463915,0,1,LGE-only,0.24542868752539618,0.46925795053003533,scar,scar,-2560.8062744140625,0
retain,Case8019,Case8019:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,110876.28936767578,0
retain,Case8019,Case8019:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.18637195321582517,0,1,LGE-only,0.472430224642614,0.6588021778584392,scar,scar,6940.61279296875,0
retain,Case8021,Case8021:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,134671.68237487786,0
retain,Case8021,Case8021:scar,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,0.0,0,1,LGE-only,0.0,0.0,scar,scar,6315.957538638031,0
retain,Case8022,Case8022:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,94301.20576835179,0
retain,Case8022,Case8022:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.019108163822517676,0,1,LGE-only,0.6939642098877767,0.6748560460652591,scar,scar,2691.6498772334307,0
retain,Case8023,Case8023:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,69191.95932124276,0
retain,Case8023,Case8023:scar,fold0 oracle says MoSAIC scar Dice exceeded nnU-Net,NOT_ACTIVATED,replace,0.11499583048509587,0,1,LGE-only,0.5701402805611222,0.45514445007602633,scar,scar,-8223.634509491967,0
