case_id,center,canonical_modalities,slice_index,slice_reason,atlas_path,has_gt,has_nnunet,has_mosaic_clean,has_mosaic_full_final,mosaic_full_final_prediction,has_prism,has_care_bound,has_lge,has_t2,has_c0,visual_review_status
Case2029,CenterB,LGE+T2+C0,5,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2029_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2029_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2015,CenterB,LGE+T2+C0,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2015_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2015_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2035,CenterB,LGE+T2+C0,0,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2035_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2035_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2014,CenterB,LGE+T2+C0,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2014_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2014_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2030,CenterB,LGE+T2+C0,0,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2030_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2030_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case3006,CenterC,LGE+T2+C0,0,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3006_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case3006_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2021,CenterB,LGE+T2+C0,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2021_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2021_mosaic_full_final_pred.nii.gz,True,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2001,CenterB,LGE+T2+C0,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2001_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2001_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2031,CenterB,LGE+T2+C0,2,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2031_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2031_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2023,CenterB,LGE+T2+C0,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2023_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2023_mosaic_full_final_pred.nii.gz,True,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case8021,CenterH,LGE,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case8021_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case8021_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1022,CenterA,LGE,14,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1022_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1022_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1045,CenterA,LGE,6,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1045_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1045_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1011,CenterA,LGE,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1011_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1011_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1054,CenterA,LGE,7,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1054_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1054_mosaic_full_final_pred.nii.gz,False,True,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case8017,CenterH,LGE,5,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case8017_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case8017_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1029,CenterA,LGE,17,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1029_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1029_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1033,CenterA,LGE,16,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1033_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1033_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1014,CenterA,LGE,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1014_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1014_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case1005,CenterA,LGE,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1005_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case1005_mosaic_full_final_pred.nii.gz,False,False,True,False,False,CODEX_VISUAL_REVIEW_PENDING
Case5006,CenterE,LGE+C0,2,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case5006_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case5006_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case6010,CenterF,LGE+C0,5,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6010_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case6010_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case7004,CenterG,LGE+C0,6,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case7004_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case7004_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case7009,CenterG,LGE+C0,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case7009_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case7009_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case6001,CenterF,LGE+C0,2,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6001_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case6001_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case7008,CenterG,LGE+C0,0,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case7008_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case7008_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case5010,CenterE,LGE+C0,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case5010_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case5010_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case6009,CenterF,LGE+C0,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6009_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case6009_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case5005,CenterE,LGE+C0,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case5005_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case5005_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
Case6004,CenterF,LGE+C0,6,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6004_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case6004_mosaic_full_final_pred.nii.gz,False,False,True,False,True,CODEX_VISUAL_REVIEW_PENDING
